Ticker,Date,Variation,Volume Devise Total,Cours Ajuste,Volume Ajuste Total,Cours Normal,Volume Normal Total
ABJC M,2000-06,-12.16,1064600,325,3140,6500,157
ABJC M,2000-05,3.35,55552750,370,150040,7400,7502
ABJC M,2000-04,-10.5,15688000,358,41900,7150,2095
ABJC M,2000-03,,10800000,400,27000,8000,1350
BICB M,2025-09,1.53,54087455,5295,10405,5295,10405
BICB M,2025-08,-1.6,137922080,5215,26991,5215,26991
BICB M,2025-07,-0.75,309999160,5300,60019,5300,60019
BICB M,2025-06,-0.19,281724640,5340,51969,5340,51969
BICB M,2025-05,-2.64,479679020,5350,88984,5350,88984
BICB M,2025-04,,60975000,5495,10910,5495,10910
BICC M,2025-09,-2.26,318650150,15165,20641,15165,20641
BICC M,2025-08,-9.0,626346095,15515,39438,15515,39438
BICC M,2025-07,2.1,384818470,17050,22762,17050,22762
BICC M,2025-06,-1.76,113037820,16700,6740,16700,6740
BICC M,2025-05,10.39,71555375,17000,4358,17000,4358
BICC M,2025-04,-3.69,93989560,15400,6089,15400,6089
BICC M,2025-03,-0.06,137206295,15990,8679,15990,8679
BICC M,2025-02,0.0,136381920,16000,8760,16000,8760
BICC M,2025-01,14.29,69260435,16000,4767,16000,4767
BICC M,2024-12,3.78,411523515,14000,29368,14000,29368
BICC M,2024-11,24.85,274314395,13490,21975,13490,21975
BICC M,2024-10,0.51,68879180,10805,6326,10805,6326
BICC M,2024-09,6.44,78868405,10750,7517,10750,7517
BICC M,2024-08,3.7,233954750,10100,23638,10100,23638
BICC M,2024-07,-2.6,140679815,9740,14501,9740,14501
BICC M,2024-06,16.21,30033800,10000,2956,10000,2956
BICC M,2024-05,14.73,44689835,8605,5537,8605,5537
BICC M,2024-04,2.74,26367430,7500,3592,7500,3592
BICC M,2024-03,6.03,19023635,7300,2756,7300,2756
BICC M,2024-02,-7.95,51365445,6885,7416,6885,7416
BICC M,2024-01,-0.13,8775370,7480,1196,7480,1196
BICC M,2023-12,8.08,75538395,7490,10683,7490,10683
BICC M,2023-11,1.91,113207985,6930,16655,6930,16655
BICC M,2023-10,-1.38,149489380,6800,22271,6800,22271
BICC M,2023-09,2.91,74157170,6895,10757,6895,10757
BICC M,2023-08,-1.47,88913560,6700,13059,6700,13059
BICC M,2023-07,-1.31,24899205,6800,3748,6800,3748
BICC M,2023-06,2.84,66572980,6890,9788,6890,9788
BICC M,2023-05,6.52,50685810,6700,7964,6700,7964
BICC M,2023-04,-1.72,677228095,6290,107528,6290,107528
BICC M,2023-03,0.16,83639070,6400,13068,6400,13068
BICC M,2023-02,6.5,45402845,6390,7565,6390,7565
BICC M,2023-01,-12.41,43743965,6000,7149,6000,7149
BICC M,2022-12,7.28,191509310,6850,27789,6850,27789
BICC M,2022-11,-0.23,48898205,6385,7979,6385,7979
BICC M,2022-10,-1.61,70056905,6400,10607,6400,10607
BICC M,2022-09,-5.59,18543120,6505,2804,6505,2804
