Ticker,Période_détail,Période,CA_PNB,Total Bilan,RE_RBE,Résultat Net,Capitaux propres
BOAN,S1,2017,9910000000.0,,5314000000.0,4130000000.0,
BOAN,S1,2016,9712000000.0,,5318000000.0,3648000000.0,
BOAN,T1,2024,5714000000.0,,2725000000.0,2286000000.0,
BOAN,T1,2023,6122000000.0,,3181000000.0,2829000000.0,
BOAN,T1,2022,5795000000.0,,3088000000.0,2733000000.0,
BOAN,T1,2021,5781000000.0,,2913000000.0,2318000000.0,
BOAN,T1,2020,5376000000.0,,2501000000.0,2125000000.0,
BOAN,T1,2019,5196000000.0,,,2038000000.0,
BOAN,T1,2018,4995000000.0,,,2240000000.0,
BOAN,T1,2017,4724000000.0,,,2040000000.0,
BOAN,T1,2016,4534000000.0,,,1881000000.0,
BOAN,T3,2024,15920000000.0,,6103000000.0,4241000000.0,
BOAN,T3,2023,20264000000.0,,10590000000.0,8533000000.0,
BOAN,T3,2022,18117000000.0,,9270000000.0,7562000000.0,
BOAN,T3,2021,18368000000.0,,9760000000.0,8827000000.0,
BOAN,T3,2020,17811000000.0,,9244000000.0,6065000000.0,
BOAN,T3,2019,16811000000.0,,8195000000.0,6257000000.0,
BOAN,T3,2018,15675000000.0,,8121000000.0,6571000000.0,
BOAN,T3,2017,14439000000.0,,7306000000.0,5887000000.0,
BOAS,An,2024,49666000000.0,783173000000.0,27102000000.0,19984000000.0,
BOAS,An,2023,45426000000.0,758148000000.0,21974000000.0,17022000000.0,
BOAS,An,2022,40503000000.0,696306000000.0,21800000000.0,15581000000.0,
BOAS,An,2021,35727000000.0,626289000000.0,17550000000.0,11070000000.0,
BOAS,An,2020,29997000000.0,561588000000.0,11128000000.0,7667000000.0,
BOAS,An,2019,30102000000.0,534863000000.0,12365000000.0,9115000000.0,
BOAS,An,2018,24949000000.0,449936000000.0,8837000000.0,8508000000.0,
BOAS,An,2017,24819000000.0,459147000000.0,10609000000.0,11389000000.0,
BOAS,An,2016,21985000000.0,521726000000.0,10739000000.0,4051000000.0,
BOAS,An,2015,16971000000.0,361877000000.0,6163000000.0,2079000000.0,
BOAS,S1,2024,23757000000.0,,,10308000000.0,
BOAS,S1,2023,22921000000.0,,,9436000000.0,
BOAS,S1,2022,18965000000.0,,,6856000000.0,
BOAS,S1,2021,16273000000.0,,,4061000000.0,
BOAS,S1,2020,13389000000.0,,5355000000.0,3692000000.0,
BOAS,S1,2019,14145000000.0,,6639000000.0,4010000000.0,
BOAS,S1,2018,11913000000.0,,4377000000.0,3802000000.0,
BOAS,S1,2017,12158000000.0,,6003000000.0,3082000000.0,
BOAS,S1,2016,9790000000.0,,4208000000.0,1678000000.0,
BOAS,S2,2022,40503000000.0,,,15581000000.0,
BOAS,S2,2021,35727000000.0,,17550000000.0,11070000000.0,
BOAS,S2,2020,29997000000.0,,11128000000.0,7667000000.0,
BOAS,S2,2019,30102000000.0,,12364000000.0,9115000000.0,
BOAS,S2,2018,24949000000.0,,8837000000.0,8509000000.0,
BOAS,T1,2024,11504000000.0,,,4787000000.0,
BOAS,T1,2023,10331000000.0,,,4042000000.0,
BOAS,T1,2022,8449000000.0,,4570000000.0,3297000000.0,
BOAS,T1,2021,7931000000.0,,3984000000.0,3304000000.0,
BOAS,T1,2020,6454000000.0,,,1839000000.0,
BOAS,T1,2019,7367000000.0,,,2261000000.0,
BOAS,T1,2018,5520000000.0,,,1858000000.0,
BOAS,T1,2017,5770000000.0,,,1564000000.0,
BOAS,T1,2016,4517000000.0,,,287000000.0,
BOAS,T3,2023,33486000000.0,,,12888000000.0,
BOAS,T3,2022,29461000000.0,,,10923000000.0,
BOAS,T3,2021,25593000000.0,,,7558000000.0,
BOAS,T3,2020,20986000000.0,,,5517000000.0,
BOAS,T3,2019,20728000000.0,,,6144000000.0,
BOAS,T3,2018,18565000000.0,,,5430000000.0,
BOAS,T3,2017,18773000000.0,,,5643000000.0,
BOAS,T4,2024,49666000000.0,,,19984000000.0,
BOAS,T4,2023,45426000000.0,,,17022000000.0,
CABC,An,2024,19125318524.0,19656293617.0,1784869818.0,1224827540.0,
CABC,An,2023,17752564089.0,19349647741.0,1748675441.0,1429806646.0,
CABC,An,2022,16481281370.0,17483499632.0,1631279564.0,1075181768.0,
CABC,An,2021,19036863791.0,16575486566.0,628129534.0,40094693.0,
CABC,An,2020,18897903618.0,13385894278.0,1662125484.0,1166658052.0,
CABC,An,2019,15199536904.0,13994028124.0,884361856.0,637951839.0,
CABC,An,2018,13290994189.0,13155114989.0,607549388.0,762719881.0,
CABC,An,2017,12476755925.0,11575103681.0,1353230250.0,980205997.0,
CABC,An,2016,10472392103.0,10259498642.0,884627483.0,597612951.0,
CABC,An,2015,13039493879.0,9155147794.0,1322145141.0,701167520.0,
